Date, Open, Close/Last, Volume, High, Low
12/21/2011,56.67,56.635,65476620,$56.76 ,$56.00 
12/22/2011,56.71,56.9357,50399476,$57.02 ,$56.59 
12/23/2011,57.1,57.6186,67331438,$57.66 ,$57.07 
12/27/2011,57.59,58.0757,66234181,$58.44 ,$57.57 
12/28/2011,58.13,57.52,57101943,$58.32 ,$57.33 
12/29/2011,57.63,57.8743,53774275,$57.95 ,$57.22 
12/30/2011,57.64,57.8571,44900596,$58.04 ,$57.64 
1/3/2012,58.49,58.7471,75476123,$58.93 ,$58.43 
1/4/2012,58.57,59.0628,64703000,$59.24 ,$58.47 
1/5/2012,59.28,59.7186,67606475,$59.79 ,$58.95 
1/6/2012,59.97,60.3428,79538994,$60.39 ,$59.89 
1/9/2012,60.79,60.2471,98339110,$61.11 ,$60.19 
1/10/2012,60.84,60.4628,64474443,$60.86 ,$60.21 
1/11/2012,60.38,60.3643,53739093,$60.41 ,$59.90 
1/12/2012,60.33,60.1986,53125179,$60.41 ,$59.82 
1/13/2012,59.96,59.9728,56446393,$60.06 ,$59.81 
1/17/2012,60.6,60.6714,60589792,$60.86 ,$60.42 
1/18/2012,60.99,61.3014,68859875,$61.35 ,$60.90 
1/19/2012,61.45,61.1071,65151043,$61.62 ,$60.93 
1/20/2012,61.07,60.0428,103061661,$61.07 ,$59.96 
1/23/2012,60.38,61.0584,76162193,$61.21 ,$60.33 
1/24/2012,60.73,60.0586,127725188,$60.73 ,$59.94 
1/25/2012,64.92,63.8086,239249712,$64.92 ,$63.39 
1/26/2012,64.05,63.5186,80913094,$64.11 ,$63.31 
1/27/2012,63.48,63.8971,74902122,$64.07 ,$63.40 
1/30/2012,63.67,64.7157,94626868,$64.84 ,$63.63 
1/31/2012,65.08,65.2114,97874379,$65.46 ,$64.72 
2/1/2012,65.49,65.17,67269418,$65.57 ,$65.08 
2/2/2012,65.13,65.0171,46615058,$65.31 ,$64.85 
2/3/2012,65.33,65.6686,71618981,$65.71 ,$65.08 
2/6/2012,65.48,66.2814,62225658,$66.43 ,$65.46 
2/7/2012,66.46,66.9757,78941684,$67.11 ,$66.37 
2/8/2012,67.21,68.0971,101696381,$68.11 ,$67.10 
2/9/2012,68.68,70.4528,220416976,$70.96 ,$68.65 
2/10/2012,70.14,70.4886,157587127,$71.09 ,$69.79 
2/13/2012,71.36,71.8,128970559,$71.98 ,$71.01 
2/14/2012,72.09,72.78,114963904,$72.79 ,$71.71 
2/15/2012,73.47,71.0957,374517892,$75.18 ,$70.98 
2/16/2012,70.21,71.7443,235805641,$72.13 ,$69.52 
2/17/2012,71.87,71.7314,133666300,$72.54 ,$71.47 
2/21/2012,72.41,73.55,150412545,$73.55 ,$72.02 
2/22/2012,73.3,73.2914,120564116,$73.64 ,$72.72 
2/23/2012,73.58,73.77,141721973,$73.98 ,$72.79 
2/24/2012,74.24,74.63,103715531,$74.70 ,$74.09 
2/27/2012,74.47,75.1085,136457481,$75.50 ,$73.75 
2/28/2012,75.42,76.4871,149434575,$76.49 ,$75.12 
2/29/2012,77.37,77.4914,237448891,$78.23 ,$76.53 
3/1/2012,78.31,77.7814,170563731,$78.32 ,$76.97 
3/2/2012,77.75,77.8828,107544392,$78.11 ,$77.50 
3/5/2012,77.92,76.1657,201797181,$78.21 ,$75.14 
3/6/2012,74.81,75.7514,202211301,$76.24 ,$73.75 
3/7/2012,76.69,75.8128,198964910,$76.83 ,$74.76 
3/8/2012,76.38,77.4271,128668929,$77.57 ,$76.02 
3/9/2012,77.74,77.8814,104560151,$78.25 ,$77.59 
3/12/2012,78.43,78.8571,101001000,$78.86 ,$78.14 
3/13/2012,79.65,81.1571,172173592,$81.17 ,$79.39 
3/14/2012,82.58,84.2257,353599156,$84.96 ,$82.20 
3/15/2012,85.66,83.6514,289496777,$85.72 ,$82.65 
3/16/2012,83.53,83.6528,206076492,$84.17 ,$82.57 
3/19/2012,85.48,85.8714,224435817,$85.97 ,$84.15 
3/20/2012,85.64,86.5657,203497481,$86.70 ,$83.14 
3/21/2012,86.11,86.0714,160447118,$87.09 ,$85.92 
3/22/2012,85.4,85.62,155867437,$86.36 ,$85.08 
3/23/2012,85.78,85.15,107403062,$85.97 ,$84.91 
3/26/2012,85.68,86.7114,148719035,$86.74 ,$85.04 
3/27/2012,86.6,87.7828,151353625,$88.04 ,$86.58 
3/28/2012,88.34,88.2314,163667329,$88.78 ,$87.19 
3/29/2012,87.54,87.1228,151111705,$88.08 ,$86.75 
3/30/2012,86.97,85.65,182067395,$87.22 ,$85.42 
4/2/2012,85.98,88.3757,149091365,$88.40 ,$85.77 
4/3/2012,89.61,89.9028,208117692,$90.32 ,$88.93 
4/4/2012,89.19,89.1871,142980433,$89.41 ,$88.14 
4/5/2012,89.57,90.5257,159997578,$90.67 ,$89.06 
4/9/2012,89.45,90.89,149052655,$91.41 ,$89.33 
4/10/2012,91.42,89.7771,221909237,$92 ,$89.43 
4/11/2012,90.89,89.4571,173844142,$90.98 ,$89.05 
4/12/2012,89.29,88.9671,153188746,$90.19 ,$88.64 
4/13/2012,89.16,86.4614,214640084,$89.24 ,$86.22 
4/16/2012,87.15,82.8757,262356159,$87.18 ,$82.61 
4/17/2012,82.71,87.1,255328647,$87.14 ,$81.70 
4/18/2012,87.67,86.9057,238277411,$88.61 ,$86.10 
4/19/2012,85.75,83.92,208302982,$86.39 ,$83.50 
4/20/2012,84.48,81.8543,257480867,$84.95 ,$81.49 
